categorie,logiciel_libre_mac,logiciel_proprietaire,fonctionnalite,logiciel_libre_windows,logiciel_libre_linux,logiciel_libre_bsd
Serveurs,"Samba,NFS",Microsoft Windows Server 2003,Serveur de fichiers,"Samba,NFS","Samba,NFS","Samba,NFS"
Serveurs,"ProFTPd,Pure-FTPd",Sambar Server,Serveur FTP,FileZilla Server,"ProFTPd,Pure-FTPd,vsFTPd","ProFTPd,Pure-FTPd,vsFTPd"
Serveurs,"Citadel,Sendmail,Postfix","IBM Lotus Domino,Microsoft Exchange Server","Serveur de ,courrier électronique","hmailServer,Apache James","Citadel,Sendmail,Postfix,RoundCube,Exim,qmail","Sendmail,Postfix,RoundCube,Exim,qmail"
Serveurs,"AWStats,Analog,Webalizer",Webtrends,Analyseurs de logs,"AWStats,Analog,Webalizer","AWStats,Analog,Webalizer","AWStats,Analog,Webalizer"
"Système d'information géographique, (SIG)","GRASS GIS,gvSIG,JUMP,LandSerf,MapServer,QGis","ArcGIS,GeoConcept,MapInfo,Autocad Map,Elyx",Système d'information géographiques,"GRASS GIS,gvSIG,JUMP,LandSerf,MapServer,QGis","GRASS GIS,gvSIG,JUMP,LandSerf,MapServer,QGis","GRASS GIS,JUMP,MapServer,QGis"
Traduction de textes,,"SYSTRAN,Prompt,Reverso",Traduction automatique,"Linguaphile,Traduki,Apertium","Apertium,Linguaphile,Traduki",Apertium
Mathématique (y compris enseignement),"Sage,Maxima,Sympy,Python","Maple,Mathematica",Calcul formel,"Sympy,Python","Sage,Maxima,Sympy,Python","Sage,Maxima,Sympy,Python"
Mathématique (y compris enseignement),"C.a.R.,GeoGebra,CaRMetal,DrGeo,Kig,GEONExT,TracenPoche",Cabri Géomètre,Géométrie dynamique,"C.a.R.,GeoGebra,CaRMetal,GéoPlan - GéoSpace,DrGeo,GEONExT,TracenPoche","C.a.R.,GeoGebra,CaRMetal,DrGeo,Kig,GEONExT,TracenPoche","GeoGebra,DrGeo,Kig,GEONExT"
Utilitaires,,"ccleaner,TuneUp Utilities",Optimisation du système,BleachBit,BleachBit,
Utilitaires,"7zX,gzip","IZArc,Winace,WinRAR,WinZip","Compression, et ,archivage","7-Zip,gzip,PeaZip","p7zip,Ark,File Roller,gzip,PeaZip","p7zip,Ark,File Roller,gzip"
Utilitaires,"Emacs,XEmacs,Atom,gedit,jEdit,Kate (logiciel),Smultron,Vi,Vim,nvi,gvim","Bloc-notes,TextEdit,SubEthaEdit,UltraEdit,XMLSpy",Éditeur de texte,"Emacs,XEmacs,jEdit,Notepad++,Notepad2,SciTE,gvim","Emacs,XEmacs,gedit,jEdit,Joe,Kate (logiciel),KWrite,SciTE,Vi,Vim,nvi,gvim","Emacs,XEmacs,gedit,jEdit,Joe,Kate (logiciel),SciTE,Vi,Vim,nvi,gvim"
Utilitaires,"FileZilla,JExp,Konqueror,Krusader,Midnight Commander,Nautilus","Explorateur Windows,Finder",Gestionnaire de fichiers,"FileZilla,GXExplorer,JExp,CubicExplorer","FileZilla,Dolphin,JExp,Konqueror,Krusader,Midnight Commander,Nautilus,Nemo,Xfe,Thunar","FileZilla,Dolphin,Krusader,Nautilus,Xfe,Thunar"
Utilitaires,"Cdrtools,X-CD-Roast","Alcohol 120%,Nero Burning ROM,Utilitaire de disque",Gravure,"InfraRecorder,Cdrtools","Cdrtools,K3b,X-CD-Roast,Brasero","Cdrtools,K3b,Brasero"
Utilitaires,ClamXav,"Avast! antivirus,AVG Anti-Virus,BitDefender,Kaspersky Anti-Virus,Norton AntiVirus",Antivirus,"ClamWin AntiVirus,Winpooch",ClamAV,ClamAV
Utilitaires,"ipfirewall,Packet Filter,sunShield","NetBarrier,Zone Alarm",Firewall,CodeSeeker,"CodeSeeker,NuFW,iptables",Packet Filter
Utilitaires,"Carbon Copy Cloner,RsyncX","Acronis True Image,Ghost (Symantec),Utilitaire de disque,SyncToy","Clonage, Sauvegarde, Synchronisation","Clonezilla,g4u,Cobian Backup 8,projects/freefilesync/","rdiff-backup,g4u,Mondo Rescue,Bacula,Partimage,Clonezilla,Back in Time","rdiff-backup,Bacula"
Utilitaires,,MultiRenamer,Renommage de fichiers,"Ant Renamer,Métamorphose","Métamorphose,prename,pyRenamer,Thunar,KRename","pyRenamer,Thunar"
Utilitaires,,"Yahoo! Desktop Search,Windows Desktop Search,Google Desktop,Copernic Desktop Search,Spotlight",Recherche de fichiers,Wilbur,"Beagle,Strigi",Strigi
Utilitaires,,WhereIsIt,Indexation de données,Gwhere,Gwhere,
